Age,Gender,Experience,Income,Family,CCAvg,Education,Mortgage,Home Ownership,Personal Loan,Securities Account,CD Account,Online,CreditCard
25,3,1,49.0,4,1.6,1,0,1,0,1,0,0.0,0
45,3,19,34.0,3,1.5,1,0,2,0,1,0,0.0,0
39,3,15,11.0,1,1.0,1,0,2,0,0,0,0.0,0
35,3,9,100.0,1,2.7,2,0,2,0,0,0,0.0,0
35,3,8,45.0,4,1.0,2,0,2,0,0,0,0.0,1
37,3,13,29.0,4,0.4,2,155,2,0,0,0,1.0,0
53,3,27,72.0,2,1.5,2,0,2,0,0,0,1.0,0
50,3,24,22.0,1,0.3,3,0,2,0,0,0,0.0,1
35,3,10,81.0,3,0.6,2,104,2,0,0,0,1.0,0
34,3,9,180.0,1,8.9,3,0,1,1,0,0,0.0,0
65,2,39,105.0,4,2.4,3,0,1,0,0,0,0.0,0
29,2,5,45.0,3,0.1,2,0,1,0,0,0,1.0,0
48,2,23,114.0,2,3.8,3,0,1,0,1,0,0.0,0
59,2,32,40.0,4,2.5,2,0,1,0,0,0,1.0,0
67,2,41,112.0,1,2.0,1,0,1,0,1,0,0.0,0
60,2,30,22.0,1,1.5,3,0,1,0,0,0,1.0,1
38,3,14,130.0,4,4.7,3,134,2,1,0,0,0.0,0
42,4,18,81.0,4,2.4,1,0,2,0,0,0,0.0,0
46,3,21,193.0,2,8.1,3,0,2,1,0,0,0.0,0
55,3,28,21.0,1,0.5,2,0,2,0,1,0,0.0,1
56,3,31,25.0,4,0.9,2,111,2,0,0,0,1.0,0
57,3,27,63.0,3,2.0,3,0,2,0,0,0,1.0,0
29,3,5,62.0,1,1.2,1,260,2,0,0,0,1.0,0
44,3,18,43.0,2,0.7,1,163,2,0,1,0,0.0,0
36,3,11,152.0,2,3.9,1,159,2,0,0,0,0.0,1
43,3,19,29.0,3,0.5,1,97,2,0,0,0,1.0,0
40,3,16,83.0,4,0.2,3,0,2,0,0,0,0.0,0
46,3,20,158.0,1,2.4,1,0,2,0,0,0,1.0,1
56,3,30,48.0,1,2.2,3,0,2,0,0,0,1.0,1
59,2,35,35.0,1,1.2,3,122,0,0,0,0,1.0,0
40,2,16,29.0,1,2.0,2,0,0,0,0,0,1.0,0
53,2,28,41.0,2,0.6,3,193,0,0,0,0,0.0,0
30,2,6,18.0,3,0.9,3,0,0,0,0,0,0.0,0
31,2,5,50.0,4,1.8,3,0,0,0,0,0,1.0,0
48,2,24,81.0,3,0.7,1,0,0,0,0,0,0.0,0
59,2,35,121.0,1,2.9,1,0,0,0,0,0,0.0,1
51,2,25,71.0,1,1.4,3,198,0,0,0,0,0.0,0
38,4,13,80.0,4,0.7,3,285,2,0,0,0,1.0,0
57,4,32,84.0,3,1.6,3,0,2,0,1,0,0.0,0
34,4,9,60.0,3,2.3,1,0,2,0,0,0,0.0,0
39,4,15,45.0,1,0.7,1,0,0,0,0,0,1.0,0
46,2,20,104.0,1,5.7,1,0,0,0,0,0,1.0,1
57,3,31,52.0,4,2.5,1,0,0,0,0,0,0.0,1
39,4,14,43.0,3,0.7,2,153,0,0,0,0,1.0,0
97,3,12,194.0,4,0.2,3,211,2,1,1,1,1.0,1
56,3,26,81.0,2,4.5,3,0,2,0,0,0,0.0,1
40,3,16,49.0,1,1.8,1,0,2,0,0,0,0.0,1
32,2,8,8.0,4,0.7,2,0,2,0,1,0,1.0,0
61,3,37,131.0,1,2.9,1,0,3,0,0,0,1.0,0
30,3,6,72.0,1,0.1,1,207,3,0,0,0,0.0,0
567,3,26,190.0,3,2.1,3,240,2,1,0,0,1.0,0
29,2,5,44.0,1,0.2,3,0,2,0,0,0,1.0,0
41,2,17,139.0,2,8.0,1,0,2,0,0,0,1.0,0
